id	Cart_id	Success
1	8642	True
2	8643	True
3	8645	True
4	8646	True
5	8648	True
6	8649	True
7	8650	False
8	8652	True
9	8653	True
10	8655	True
11	8657	True
12	8658	True
13	8659	True
14	8664	True
15	8666	True
16	8669	True
17	8670	True
18	8672	True
19	8674	True
20	8675	True
21	8676	False
22	8677	True
23	8678	True
24	8680	True
25	8681	True
26	8683	False
27	8684	True
28	8686	True
29	8688	False
30	8689	True
31	8691	True
32	8692	True
33	8693	True
34	8695	True
35	8696	True
36	8697	True
37	8698	True
38	8699	True
39	8700	True
40	8701	True
41	8702	True
42	8705	True
43	8706	True
44	8707	True
45	8708	True
46	8709	True
47	8710	True
48	8711	True
49	8712	True
50	8713	True
51	8714	True
52	8717	True
53	8718	True
54	8719	True
55	8720	True
56	8722	False
57	8723	True
58	8724	True
59	8726	True
60	8727	True
61	8728	True
62	8730	True
63	8731	True
64	8736	True
65	8737	False
66	8738	True
67	8741	True
68	8742	True
69	8743	True
70	8744	True
71	8747	True
72	8750	False
73	8751	True
74	8752	True
75	8753	False
76	8754	True
77	8755	True
78	8757	False
79	8758	True
80	8759	True
81	8760	True
82	8761	True
83	8764	True
84	8765	False
85	8766	True
86	8768	True
87	8769	True
88	8771	True
89	8773	True
90	8774	True
91	8775	True
92	8777	False
93	8778	True
94	8779	False
95	8780	True
96	8781	True
97	8783	True
98	8785	True
99	8786	True
100	8787	True
101	8789	False
102	8791	True
103	8792	True
104	8794	True
105	8795	True
106	8796	True
107	8797	True
108	8798	True
109	8800	True
110	8802	True
111	8803	True
112	8804	True
113	8805	True
114	8807	True
115	8808	True
116	8810	True
117	8812	True
118	8813	True
119	8816	True
120	8817	True
121	8818	True
122	8819	True
123	8820	True
124	8821	True
125	8822	True
126	8823	True
127	8825	True
128	8826	True
129	8827	False
130	8828	True
131	8830	True
132	8831	True
133	8832	True
134	8834	True
135	8835	True
136	8836	False
137	8838	True
138	8839	True
139	8840	True
140	8841	False
141	8842	True
142	8843	False
143	8844	True
144	8845	True
145	8846	True
146	8847	True
147	8848	True
148	8849	True
149	8850	True
150	8852	True
151	8853	True
152	8854	True
153	8855	True
154	8856	True
155	8857	True
156	8858	True
157	8859	True
158	8860	True
159	8861	True
160	8862	True
161	8863	True
162	8865	True
163	8866	True
164	8867	True
165	8870	False
166	8871	True
167	8872	True
168	8874	True
169	8875	True
170	8877	True
171	8879	True
172	8880	True
173	8881	True
174	8885	True
175	8886	True
176	8888	True
177	8889	True
178	8891	True
179	8892	False
180	8897	True
181	8898	True
182	8900	True
183	8901	True
184	8902	True
185	8904	True
186	8905	True
187	8907	True
188	8908	True
189	8909	True
190	8910	True
191	8913	True
192	8915	True
193	8917	True
194	8919	True
195	8920	True
196	8922	True
197	8923	True
198	8924	True
199	8926	True
200	8928	True
201	8929	True
202	8930	True
203	8931	True
204	8933	True
205	8934	True
206	8935	True
207	8937	True
208	8938	True
209	8939	True
210	8941	True
211	8942	True
212	8943	False
213	8945	True
214	8949	True
215	8950	True
216	8951	True
217	8952	True
218	8955	True
219	8956	True
220	8957	True
221	8958	True
222	8959	True
223	8960	True
224	8962	True
225	8963	True
226	8964	True
227	8965	False
228	8966	True
229	8967	True
230	8968	True
231	8970	True
232	8971	True
233	8972	True
234	8975	True
235	8977	True
236	8979	True
237	8980	True
238	8981	True
239	8982	True
240	8984	True
241	8985	True
242	8986	True
243	8987	True
244	8988	True
245	8990	True
246	8991	True
247	8992	True
248	8993	True
249	8997	False
250	8998	True
251	8999	True
252	9001	True
253	9002	True
254	9003	True
255	9004	False
256	9005	True
257	9006	True
258	9007	True
259	9008	False
260	9009	True
261	9010	False
262	9012	True
263	9014	True
264	9015	True
265	9017	True
266	9018	False
267	9019	True
268	9020	True
269	9023	True
270	9024	True
271	9025	True
272	9026	True
273	9027	True
274	9028	False
275	9029	True
276	9030	False
277	9032	True
278	9033	True
279	9034	True
280	9035	True
281	9036	True
282	9037	True
283	9039	True
284	9043	True
285	9044	True
286	9045	True
287	9046	True
288	9047	True
289	9048	False
290	9049	True
291	9053	False
292	9059	True
293	9060	True
294	9063	True
295	9064	True
296	9065	True
297	9067	False
298	9069	True
299	9070	True
300	9072	True
301	9073	True
302	9074	True
303	9075	True
304	9076	True
305	9077	True
306	9078	True
307	9079	True
308	9080	True
309	9082	True
310	9084	True
311	9085	True
312	9086	True
313	9087	True
314	9088	False
315	9091	True
316	9093	True
317	9096	True
318	9097	True
319	9100	True
320	9101	True
321	9102	True
322	9103	True
323	9104	True
324	9106	True
325	9107	False
326	9108	False
327	9109	True
328	9111	True
329	9114	True
330	9115	True
331	9116	True
332	9117	True
333	9118	True
334	9119	True
335	9120	False
336	9121	True
337	9122	True
338	9123	True
339	9124	False
340	9125	True
341	9126	True
342	9127	True
343	9128	True
344	9129	True
345	9131	True
346	9132	True
347	9133	False
348	9135	True
349	9137	True
350	9139	True
351	9140	False
352	9141	True
353	9142	True
354	9144	True
355	9145	True
356	9146	True
357	9147	True
358	9148	True
359	9150	True
360	9151	True
361	9153	True
362	9154	True
363	9156	False
364	9157	True
365	9158	True
366	9160	True
367	9161	False
368	9162	True
369	9163	True
370	9164	True
371	9168	True
372	9169	True
373	9171	True
374	9172	True
375	9173	True
376	9174	True
377	9175	True
378	9177	True
379	9178	True
380	9179	True
381	9180	True
382	9181	True
383	9182	True
384	9183	True
385	9184	True
386	9185	True
387	9186	True
388	9187	True
389	9188	True
390	9189	True
391	9190	True
392	9191	True
393	9192	True
394	9193	True
395	9194	True
396	9195	False
397	9197	True
398	9199	True
399	9201	True
400	9203	True
401	9205	True
402	9206	True
403	9207	True
404	9208	False
405	9210	True
406	9212	True
407	9213	True
408	9214	True
409	9215	True
410	9216	True
411	9217	True
412	9218	True
413	9219	True
414	9220	True
415	9222	True
416	9223	False
417	9224	True
418	9225	True
419	9226	True
420	9229	True
421	9230	True
422	9231	True
423	9233	True
424	9234	True
425	9235	True
426	9236	True
427	9239	True
428	9241	True
429	9244	True
430	9245	True
431	9246	True
432	9247	False
433	9251	True
434	9253	True
435	9254	True
436	9256	True
437	9259	True
438	9261	True
439	9263	True
440	9264	True
441	9265	True
442	9267	True
443	9270	True
444	9271	True
445	9272	True
446	9273	True
447	9274	True
448	9275	True
449	9276	False
450	9277	True
451	9278	True
452	9279	True
453	9280	True
454	9281	True
455	9285	True
456	9286	True
457	9287	True
458	9289	False
459	9290	True
460	9291	True
461	9293	True
462	9294	True
463	9295	True
464	9296	True
465	9297	True
466	9298	True
467	9300	False
468	9301	True
469	9302	True
470	9303	True
471	9305	True
472	9306	True
473	9307	True
474	9309	True
475	9311	True
476	9312	True
477	9315	True
478	9316	True
479	9317	True
480	9318	True
481	9319	True
482	9320	False
483	9321	True
484	9322	True
485	9325	True
486	9326	True
487	9327	True
488	9328	False
489	9330	False
490	9331	True
491	9332	True
492	9334	True
493	9335	True
494	9336	True
495	9338	True
496	9340	False
497	9341	True
498	9343	True
499	9344	True
500	9345	True
501	9346	False
502	9347	True
503	9349	True
504	9350	True
505	9351	True
506	9352	True
507	9354	True
508	9355	True
509	9356	True
510	9357	True
511	9362	True
512	9363	True
513	9367	True
514	9369	True
515	9370	True
516	9371	True
517	9372	True
518	9376	True
519	9377	True
520	9378	True
521	9380	True
522	9381	True
523	9382	True
524	9383	True
525	9384	True
526	9385	True
527	9386	True
528	9389	True
529	9392	True
530	9396	True
531	9398	True
532	9399	True
533	9400	False
534	9401	True
535	9404	True
536	9405	True
537	9406	True
538	9407	True
539	9408	True
540	9409	True
541	9410	True
542	9411	True
543	9413	False
544	9414	False
545	9419	True
546	9421	True
547	9422	True
548	9423	True
549	9425	True
550	9426	True
551	9428	False
552	9429	True
553	9430	True
554	9431	True
555	9432	True
556	9435	True
557	9436	True
558	9438	True
559	9439	True
560	9442	True
561	9443	False
562	9444	True
563	9446	True
564	9448	True
565	9449	True
566	9450	True
567	9451	True
568	9453	False
569	9454	True
570	9455	True
571	9456	True
572	9457	True
573	9459	False
574	9460	True
575	9461	True
576	9463	True
577	9464	True
578	9465	True
579	9466	True
580	9467	True
581	9468	True
582	9470	True
583	9472	True
584	9473	True
585	9474	True
586	9479	True
587	9483	True
588	9484	True
589	9486	True
590	9487	True
591	9489	True
592	9491	True
593	9492	True
594	9493	True
595	9494	False
596	9495	True
597	9496	True
598	9497	True
599	9498	True
600	9500	True
601	9502	True
602	9503	True
603	9504	True
604	9505	False
605	9507	True
606	9508	True
607	9510	True
608	9511	True
609	9513	True
610	9514	True
611	9515	True
612	9517	True
613	9519	True
614	9520	True
615	9521	True
616	9522	True
617	9523	True
618	9524	True
619	9525	True
620	9526	True
621	9527	True
622	9528	True
623	9529	True
624	9532	True
625	9534	True
626	9535	True
627	9536	True
628	9537	True
629	9538	True
630	9539	True
631	9540	True
632	9541	True
633	9542	True
634	9543	True
635	9544	True
636	9545	True
637	9546	True
638	9547	True
639	9548	True
640	9549	True
641	9550	True
642	9551	True
643	9553	True
644	9554	True
645	9555	True
646	9558	True
647	9560	True
648	9562	True
649	9564	False
650	9565	True
651	9566	True
652	9567	True
653	9569	True
654	9570	True
655	9571	True
656	9572	True
657	9574	True
658	9575	True
659	9576	True
660	9580	True
661	9581	True
662	9583	True
663	9584	True
664	9585	False
665	9586	True
666	9588	True
667	9589	True
668	9590	True
669	9591	True
670	9592	True
671	9593	True
672	9594	True
673	9597	True
674	9598	True
675	9599	True
676	9600	True
677	9602	True
678	9604	True
679	9607	True
680	9608	True
681	9609	True
682	9610	True
683	9611	True
684	9613	True
685	9616	True
686	9618	True
687	9619	True
688	9622	True
689	9623	True
690	9625	True
691	9626	True
692	9627	True
693	9628	True
694	9629	True
695	9630	True
696	9631	False
697	9632	True
698	9634	False
699	9637	True
700	9638	True
701	9639	True
702	9642	True
703	9643	True
704	9645	True
705	9646	True
706	9647	True
707	9650	True
708	9651	True
709	9652	True
710	9653	True
711	9654	True
712	9656	True
713	9657	True
714	9662	True
715	9663	True
716	9664	True
717	9665	True
718	9666	True
719	9667	True
720	9668	True
721	9669	True
722	9670	True
723	9671	True
724	9672	True
725	9673	True
726	9674	True
727	9675	True
728	9676	True
729	9677	True
730	9679	True
731	9680	True
732	9682	True
733	9683	False
734	9684	True
735	9685	True
736	9686	True
737	9687	True
738	9690	True
739	9691	True
740	9692	True
741	9694	True
742	9697	True
743	9698	True
744	9699	True
745	9700	True
746	9701	True
747	9702	True
748	9703	True
749	9704	True
750	9705	True
751	9706	True
752	9709	True
753	9710	False
754	9712	True
755	9713	True
756	9714	True
757	9716	True
758	9717	True
759	9718	False
760	9719	True
761	9720	True
762	9721	True
763	9722	True
764	9723	True
765	9724	True
766	9725	True
767	9726	True
768	9728	True
769	9729	False
770	9730	True
771	9731	True
772	9732	True
773	9733	True
774	9734	True
775	9736	True
776	9737	False
777	9738	True
778	9740	True
779	9741	False
780	9742	True
781	9745	True
782	9746	True
783	9747	True
784	9750	True
785	9751	True
786	9752	True
787	9753	True
788	9754	True
789	9755	True
790	9758	True
791	9759	True
792	9761	True
793	9762	True
794	9764	True
795	9765	False
796	9767	True
